Panel	HUGO	Lookup_Transcript	Reported_Transcript
cv6	ABL1	NM_005157.4	NM_005157
cv6	ACVR1	NM_001111067.2	NM_001111067
cv6	AGO2	NM_012154.3	NM_012154
cv6	AKT1	NM_001014431.1	NM_001014431
cv6	AKT2	NM_001626.4	NM_001626
cv6	AKT3	NM_005465.4	NM_005465
cv6	ALK	NM_004304.4	NM_004304
cv6	ALOX12B	NM_001139.2	NM_001139
cv6	AMER1	NM_152424.3	NM_152424
cv6	ANKRD11	NM_013275.5	NM_013275
cv6	APC	NM_000038.5	NM_000038
cv6	AR	NM_000044.3	NM_000044
cv6	ARAF	NM_001654.4	NM_001654
cv6	ARID1A	NM_006015.4	NM_006015
cv6	ARID1B	NM_020732.3	NM_020732
cv6	ARID2	NM_152641.2	NM_152641
cv6	ARID5B	NM_032199.2	NM_032199
cv6	ASXL1	NM_015338.5	NM_015338
cv6	ASXL2	NM_018263.4	NM_018263
cv6	ATM	NM_000051.3	NM_000051
cv6	ATR	NM_001184.3	NM_001184
cv6	ATRX	NM_000489.3	NM_000489
cv6	AURKA	NM_003600.2	NM_003600
cv6	AURKB	NM_004217.3	NM_004217
cv6	AXIN1	NM_003502.3	NM_003502
cv6	AXIN2	NM_004655.3	NM_004655
cv6	AXL	NM_021913.4	NM_021913
cv6	B2M	NM_004048.2	NM_004048
cv6	BABAM1	NM_001033549.1	NM_001033549
cv6	BAP1	NM_004656.3	NM_004656
cv6	BARD1	NM_000465.2	NM_000465
cv6	BBC3	NM_001127240.2	NM_001127240
cv6	BCL10	NM_003921.4	NM_003921
cv6	BCL2	NM_000633.2	NM_000633
cv6	BCL2L1	NM_138578.1	NM_138578
cv6	BCL2L11	NM_138621.4	NM_138621
cv6	BCL6	NM_001706.4	NM_001706
cv6	BCOR	NM_001123385.1	NM_001123385
cv6	BIRC3	NM_182962.2	NM_182962
cv6	BLM	NM_000057.2	NM_000057
cv6	BMPR1A	NM_004329.2	NM_004329
cv6	BRAF	NM_004333.4	NM_004333
cv6	BRCA1	NM_007294.3	NM_007294
cv6	BRCA2	NM_000059.3	NM_000059
cv6	BRD4	NM_058243.2	NM_058243
cv6	BRIP1	NM_032043.2	NM_032043
cv6	BTK	NM_000061.2	NM_000061
cv6	CALR	NM_004343.3	NM_004343
cv6	CARD11	NM_032415.4	NM_032415
cv6	CARM1	NM_199141.1	NM_199141
cv6	CASP8	NM_001080125.1	NM_001080125
cv6	CBFB	NM_022845.2	NM_022845
cv6	CBL	NM_005188.3	NM_005188
cv6	CBL	NM_005188.3	NM_005188
cv6	CCND1	NM_053056.2	NM_053056
cv6	CCND2	NM_001759.3	NM_001759
cv6	CCND3	NM_001760.3	NM_001760
cv6	CCNE1	NM_001238.2	NM_001238
cv6	CD274	NM_014143.3	NM_014143
cv6	CD276	NM_001024736.1	NM_001024736
cv6	CD79A	NM_001783.3	NM_001783
cv6	CD79B	NM_001039933.1	NM_001039933
cv6	CDC42	NM_001791.3	NM_001791
cv6	CDC73	NM_024529.4	NM_024529
cv6	CDH1	NM_004360.3	NM_004360
cv6	CDK12	NM_016507.2	NM_016507
cv6	CDK4	NM_000075.3	NM_000075
cv6	CDK6	NM_001145306.1	NM_001145306
cv6	CDK8	NM_001260.1	NM_001260
cv6	CDKN1A	NM_078467.2	NM_078467
cv6	CDKN1B	NM_004064.3	NM_004064
cv6	CDKN2A	NM_058195.3	NM_058195
cv6	CDKN2A	NM_000077.4	NM_000077
cv6	CDKN2Ap14ARF	NM_058195.3	NM_058195
cv6	CDKN2Ap16INK4A	NM_000077.4	NM_000077
cv6	CDKN2B	NM_004936.3	NM_004936
