Gene	Transcripts
A1BG	NM_130786.3
A1CF	NM_138932.2
A2M	NM_000014.4
A2ML1	NM_144670.4
A4GALT	NM_017436.4
A4GNT	NM_016161.2
AAAS	NM_015665.5
AACS	NM_023928.3
AADAC	NM_001086.2
AADACL2	NM_207365.3
AADACL3	NM_001103170.1
AADACL4	NM_001013630.1
AADAT	NM_016228.3
AAGAB	NM_024666.4
AAK1	NM_014911.3
AAMP	NM_001087.3
AANAT	NM_001088.2
AARS	NM_001605.2
AARS2	NM_020745.3
AASDH	NM_181806.2
AASDHPPT	NM_015423.2
AASS	NM_005763.3
AATF	NM_012138.3
AATK	NM_001080395.2
ABAT	NM_020686.5
ABCA1	NM_005502.3
ABCA10	NM_080282.3
ABCA12	NM_173076.2
ABCA13	NM_152701.3
ABCA2	NM_001606.4
ABCA3	NM_001089.2
ABCA4	NM_000350.2
ABCA5	NM_172232.2
ABCA6	NM_080284.2
ABCA7	NM_019112.3
ABCA8	NM_007168.2
ABCA9	NM_080283.3
ABCB1	NM_000927.4
ABCB10	NM_012089.2
ABCB11	NM_003742.2
ABCB4	NM_000443.3
ABCB5	NM_001163941.1
ABCB6	NM_005689.2
ABCB7	NM_004299.4
ABCB8	NM_007188.3
ABCB9	NM_019625.3
ABCC1	NM_004996.3
ABCC10	NM_001198934.1
ABCC11	NM_032583.3
ABCC12	NM_033226.2
ABCC2	NM_000392.3
ABCC3	NM_003786.3
ABCC4	NM_005845.3
ABCC5	NM_005688.2
ABCC6	NM_001171.5
ABCC8	NM_000352.3
ABCC9	NM_020297.2
ABCD1	NM_000033.3
ABCD2	NM_005164.3
ABCD3	NM_002858.3
ABCD4	NM_005050.3
ABCE1	NM_002940.2
ABCF1	NM_001025091.1
ABCF2	NM_005692.4
ABCF3	NM_018358.2
ABCG1	NM_004915.3
ABCG2	NM_004827.2
ABCG4	NM_022169.4
ABCG5	NM_022436.2
ABCG8	NM_022437.2
ABHD1	NM_032604.3
ABHD10	NM_018394.3
ABHD11	NM_148912.2
ABHD12	NM_015600.4
ABHD12B	NM_001206673.1
ABHD13	NM_032859.2
ABHD14A	NM_015407.4
ABHD14B	NM_001146314
ABHD15	NM_198147.2
ABHD16A	NM_021160.2
ABHD16B	NM_080622.3
ABHD2	NM_152924.4
ABHD3	NM_138340.4
ABHD4	NM_022060.2
ABHD5	NM_016006.4
ABHD6	NM_020676.5
ABHD8	NM_024527.4
ABI1	NM_001012750.2
ABI2	NM_005759.4
ABI3	NM_016428.2
ABI3BP	NM_015429.3
ABL1	NM_005157.4
ABL2	NM_005158.4
ABLIM1	NM_002313.5
ABLIM2	NM_001130083.1
ABLIM3	NM_014945.2
ABO	NM_020469.2
ABP1	NM_001091.3
ABR	NM_021962.3
ABRA	NM_139166.4
ABT1	NM_013375.3
ABTB1	NM_172027.2
ABTB2	NM_145804.2
ACAA1	NM_001607.3
ACAA2	NM_006111.2
ACACA	NM_198834.1
ACACB	NM_001093.3
ACAD10	NM_001136538.1
ACAD8	NM_014384.2
ACAD9	NM_014049.4
ACADL	NM_001608.3
ACADM	NM_001127328.1
ACADS	NM_000017.2
ACADSB	NM_001609.3
ACADVL	NM_000018.3
ACAN	NM_013227.3
ACAP1	NM_014716.3
ACAP2	NM_012287.5
ACAP3	NM_030649.2
ACAT1	NM_000019.3
ACAT2	NM_005891.2
ACBD3	NM_022735.3
ACBD4	NM_001135705.1
ACBD5	NM_145698.3
ACBD6	NM_032360.3
ACBD7	NM_001039844.2
ACCS	NM_001127219.1
ACCSL	NM_001031854.2
ACD	NM_001082486.1
ACE	NM_000789.3
ACE2	NM_021804.2
ACER1	NM_133492.2
ACER2	NM_001010887.2
ACER3	NM_018367.5
ACHE	NM_015831.2
ACIN1	NM_014977.3
ACLY	NM_001096.2
ACMSD	NM_138326.2
ACN9	NM_020186.2
ACO1	NM_002197.2
ACO2	NM_001098.2
ACOT11	NM_147161.3
ACOT12	NM_130767.2
ACOT13	NM_018473.3
ACOT2	NM_006821.5
ACOT4	NM_152331.3
ACOT6	NM_001037162.1
ACOT7	NM_181864.2
ACOT8	NM_005469.3
ACOT9	NM_001037171.1
ACOX1	NM_004035.6
ACOX2	NM_003500.3
ACOX3	NM_003501.2
ACOXL	NM_001142807.1
ACP1	NM_004300.3
ACP2	NM_001610.2
ACP5	NM_001111036.1
ACP6	NM_016361.4
ACPL2	NM_001037172.1
ACPP	NM_001134194.1
ACPT	NM_033068.2
ACR	NM_001097.2
ACRBP	NM_032489.2
ACRC	NM_052957.4
ACRV1	NM_001612.5
ACSBG1	NM_015162.4
ACSBG2	NM_030924.3
ACSF2	NM_025149.4
ACSF3	NM_001127214.2
ACSL1	NM_001995.2
ACSL3	NM_203372.1
ACSL4	NM_022977.2
ACSL5	NM_016234.3
ACSL6	NM_001009185.2
ACSM1	NM_052956.2
ACSM2A	NM_001010845.2
ACSM2B	NM_001105069.1
ACSM3	NM_005622.3
ACSM4	NM_001080454.1
ACSM5	NM_017888.2
ACSS1	NM_032501.3
ACSS2	NM_001076552.2
ACSS3	NM_024560.2
ACTA1	NM_001100.3
ACTA2	NM_001613.2
ACTB	NM_001101.3
ACTBL2	NM_001017992.3
ACTC1	NM_005159.4
ACTG1	NM_001614.3
ACTG2	NM_001615.3
ACTL10	NM_001024675.1
ACTL6A	NM_004301.3
ACTL6B	NM_016188.4
ACTL7A	NM_006687.2
ACTL7B	NM_006686.3
ACTL8	NM_030812.2
ACTL9	NM_178525.3
ACTN1	NM_001130004.1
ACTN2	NM_001103.3
ACTN4	NM_004924.4
ACTR10	NM_018477.2
ACTR1A	NM_005736.3
ACTR1B	NM_005735.3
ACTR2	NM_001005386.2
ACTR3	NM_005721.4
ACTR3B	NM_020445.5
ACTR3C	NM_001164458.1
ACTR5	NM_024855.3
ACTR6	NM_022496.4
ACTR8	NM_022899.4
ACTRT1	NM_138289.3
ACTRT2	NM_080431.4
ACVR1	NM_001111067.2
ACVR1B	NM_004302.4
ACVR1C	NM_145259.2
ACVR2A	NM_001616.4
ACVR2B	NM_001106.3
ACVRL1	NM_001077401.1
ACY1	NM_001198895.1
ACY3	NM_080658.1
ACYP1	NM_001107.3
ACYP2	NM_138448.3
ADA	NM_000022.2
ADAD1	NM_001159285.1
ADAD2	NM_001145400.1
ADAL	NM_001159280.1
ADAM10	NM_001110.2
ADAM11	NM_002390.4
ADAM12	NM_003474.4
ADAM15	NM_207197.2
ADAM17	NM_003183.4
ADAM18	NM_014237.2
ADAM19	NM_033274.4
ADAM2	NM_001464.4
ADAM20	NM_003814.4
ADAM21	NM_003813.3
ADAM22	NM_021723.3
ADAM23	NM_003812.3
ADAM28	NM_014265.4
ADAM29	NM_001130705.1
ADAM30	NM_021794.3
ADAM32	NM_145004.5
ADAM33	NM_025220.2
ADAM7	NM_003817.3
ADAM8	NM_001109.4
ADAM9	NM_003816.2
ADAMDEC1	NM_014479.3
ADAMTS1	NM_006988.3
ADAMTS10	NM_030957.2
ADAMTS12	NM_030955.2
ADAMTS13	NM_139025.4
ADAMTS14	NM_139155.2
ADAMTS15	NM_139055.2
ADAMTS16	NM_139056.2
ADAMTS17	NM_139057.2
ADAMTS18	NM_199355.2
ADAMTS19	NM_133638.3
ADAMTS2	NM_014244.4
ADAMTS20	NM_025003.3
ADAMTS3	NM_014243.2
ADAMTS4	NM_005099.4
ADAMTS5	NM_007038.3
ADAMTS6	NM_197941.2
ADAMTS7	NM_014272.3
ADAMTS8	NM_007037.4
ADAMTS9	NM_182920.1
ADAMTSL1	NM_001040272.5
ADAMTSL2	NM_014694.3
ADAMTSL3	NM_207517.2
