ENST00000263100	NM_130786.3	A1BG
ENST00000282641	NM_138932.2	A1CF
ENST00000299698	NM_144670.4	A2ML1
ENST00000318602	NM_000014.4	A2M
ENST00000249005	NM_017436.4	A4GALT
ENST00000236709	NM_016161.2	A4GNT
ENST00000209873	NM_015665.5	AAAS
ENST00000316519	NM_023928.3	AACS
ENST00000356517	NM_207365.3	AADACL2
ENST00000359318	NM_001103170.1	AADACL3
ENST00000376221	NM_001013630.1	AADACL4
ENST00000232892	NM_001086.2	AADAC
ENST00000337664	NM_016228.3	AADAT
ENST00000261880	NM_024666.4	AAGAB
ENST00000409085	NM_014911.3	AAK1
ENST00000444053	NM_001087.3	AAMP
ENST00000392492	NM_001088.2	AANAT
ENST00000244571	NM_020745.3	AARS2
ENST00000261772	NM_001605.2	AARS
ENST00000205214	NM_181806.2	AASDH
ENST00000278618	NM_015423.2	AASDHPPT
ENST00000417368	NM_005763.3	AASS
ENST00000225402	NM_012138.3	AATF
ENST00000326724	NM_001080395.2	AATK
ENST00000268251	NM_020686.5	ABAT
ENST00000269081	NM_080282.3	ABCA10
ENST00000272895	NM_173076.2	ABCA12
ENST00000435803	NM_152701.3	ABCA13
ENST00000374736	NM_005502.3	ABCA1
ENST00000341511	NM_001606.4	ABCA2
ENST00000301732	NM_001089.2	ABCA3
ENST00000370225	NM_000350.2	ABCA4
ENST00000392677	NM_172232.2	ABCA5
ENST00000284425	NM_080284.2	ABCA6
ENST00000263094	NM_019112.3	ABCA7
ENST00000269080	NM_007168.2	ABCA8
ENST00000340001	NM_080283.3	ABCA9
ENST00000344517	NM_012089.2	ABCB10
ENST00000263817	NM_003742.2	ABCB11
ENST00000265724	NM_000927.4	ABCB1
ENST00000265723	NM_000443.3	ABCB4
ENST00000404938	NM_001163941.1	ABCB5
ENST00000265316	NM_005689.2	ABCB6
ENST00000253577	NM_004299.4	ABCB7
ENST00000358849	NM_007188.3	ABCB8
ENST00000280560	NM_019625.3	ABCB9
ENST00000372530	NM_001198934.1	ABCC10
ENST00000394748	NM_032583.3	ABCC11
ENST00000311303	NM_033226.2	ABCC12
ENST00000399410	NM_004996.3	ABCC1
ENST00000370449	NM_000392.3	ABCC2
ENST00000285238	NM_003786.3	ABCC3
ENST00000376887	NM_005845.3	ABCC4
ENST00000334444	NM_005688.2	ABCC5
ENST00000205557	NM_001171.5	ABCC6
ENST00000302539	NM_000352.3	ABCC8
ENST00000261200	NM_020297.2	ABCC9
ENST00000218104	NM_000033.3	ABCD1
ENST00000308666	NM_005164.3	ABCD2
ENST00000370214	NM_002858.3	ABCD3
ENST00000356924	NM_005050.3	ABCD4
ENST00000296577	NM_002940.2	ABCE1
ENST00000326195	NM_001025091.1	ABCF1
ENST00000222388	NM_005692.4	ABCF2
ENST00000429586	NM_018358.2	ABCF3
ENST00000361802	NM_004915.3	ABCG1
ENST00000237612	NM_004827.2	ABCG2
ENST00000307417	NM_022169.4	ABCG4
ENST00000260645	NM_022436.2	ABCG5
ENST00000272286	NM_022437.2	ABCG8
ENST00000273359	NM_018394.3	ABHD10
ENST00000222800	NM_148912.2	ABHD11
ENST00000337334	NM_001206673.1	ABHD12B
ENST00000376542	NM_015600.4	ABHD12
ENST00000375898	NM_032859.2	ABHD13
ENST00000273596	NM_015407.4	ABHD14A
ENST00000307201	NM_198147.2	ABHD15
ENST00000395952	NM_021160.2	ABHD16A
ENST00000369916	NM_080622.3	ABHD16B
ENST00000316470	NM_032604.3	ABHD1
ENST00000352732	NM_152924.4	ABHD2
ENST00000289119	NM_138340.4	ABHD3
ENST00000428304	NM_022060.2	ABHD4
ENST00000458276	NM_016006.4	ABHD5
ENST00000295962	NM_020676.5	ABHD6
ENST00000247706	NM_024527.4	ABHD8
ENST00000359188	NM_001012750.2	ABI1
ENST00000261017	NM_005759.4	ABI2
ENST00000284322	NM_015429.3	ABI3BP
ENST00000225941	NM_016428.2	ABI3
ENST00000318560	NM_005157.4	ABL1
ENST00000344730	NM_005158.4	ABL2
ENST00000277895	NM_002313.5	ABLIM1
ENST00000447017	NM_001130083.1	ABLIM2
ENST00000309868	NM_014945.2	ABLIM3
ENST00000319878	NM_020469.2	ABO
ENST00000360937	NM_001091.3	ABP1
ENST00000311955	NM_139166.4	ABRA
ENST00000302538	NM_021962.3	ABR
ENST00000274849	NM_013375.3	ABT1
ENST00000393363	NM_172027.2	ABTB1
ENST00000435224	NM_145804.2	ABTB2
ENST00000333167	NM_001607.3	ACAA1
ENST00000285093	NM_006111.2	ACAA2
ENST00000353139	NM_198834.1	ACACA
ENST00000377848	NM_001093.3	ACACB
ENST00000455480	NM_001136538.1	ACAD10
ENST00000281182	NM_014384.2	ACAD8
ENST00000308982	NM_014049.4	ACAD9
ENST00000233710	NM_001608.3	ACADL
ENST00000370841	NM_001127328.1	ACADM
ENST00000358776	NM_001609.3	ACADSB
ENST00000242592	NM_000017.2	ACADS
ENST00000356839	NM_000018.3	ACADVL
ENST00000439576	NM_013227.3	ACAN
ENST00000158762	NM_014716.3	ACAP1
ENST00000326793	NM_012287.5	ACAP2
ENST00000354700	NM_030649.2	ACAP3
ENST00000265838	NM_000019.3	ACAT1
ENST00000367048	NM_005891.2	ACAT2
ENST00000366812	NM_022735.3	ACBD3
ENST00000321854	NM_001135705.1	ACBD4
ENST00000396271	NM_145698.3	ACBD5
ENST00000367595	NM_032360.3	ACBD6
ENST00000356189	NM_001039844.2	ACBD7
ENST00000378832	NM_001031854.2	ACCSL
ENST00000263776	NM_001127219.1	ACCS
ENST00000219251	NM_001082486.1	ACD
ENST00000427411	NM_021804.2	ACE2
ENST00000290866	NM_000789.3	ACE
ENST00000301452	NM_133492.2	ACER1
ENST00000340967	NM_001010887.2	ACER2
ENST00000532485	NM_018367.5	ACER3
ENST00000302913	NM_015831.2	ACHE
ENST00000262710	NM_014977.3	ACIN1
ENST00000352035	NM_001096.2	ACLY
ENST00000356140	NM_138326.2	ACMSD
ENST00000432641	NM_020186.2	ACN9
ENST00000309951	NM_002197.2	ACO1
ENST00000216254	NM_001098.2	ACO2
ENST00000343744	NM_147161.3	ACOT11
ENST00000307624	NM_130767.2	ACOT12
ENST00000230048	NM_018473.3	ACOT13
ENST00000238651	NM_006821.5	ACOT2
ENST00000326303	NM_152331.3	ACOT4
ENST00000381139	NM_001037162.1	ACOT6
ENST00000377855	NM_181864.2	ACOT7
ENST00000217455	NM_005469.3	ACOT8
ENST00000379303	NM_001037171.1	ACOT9
ENST00000293217	NM_004035.6	ACOX1
ENST00000302819	NM_003500.3	ACOX2
ENST00000356406	NM_003501.2	ACOX3
ENST00000439055	NM_001142807.1	ACOXL
ENST00000272065	NM_004300.3	ACP1
ENST00000256997	NM_001610.2	ACP2
ENST00000412435	NM_001111036.1	ACP5
ENST00000369238	NM_016361.4	ACP6
ENST00000286353	NM_001037172.1	ACPL2
ENST00000351273	NM_001134194.1	ACPP
ENST00000270593	NM_033068.2	ACPT
ENST00000229243	NM_032489.2	ACRBP
ENST00000373696	NM_052957.4	ACRC
ENST00000216139	NM_001097.2	ACR
ENST00000315608	NM_001612.5	ACRV1
ENST00000258873	NM_015162.4	ACSBG1
ENST00000252669	NM_030924.3	ACSBG2
ENST00000300441	NM_025149.4	ACSF2
ENST00000317447	NM_001127214.2	ACSF3
ENST00000281455	NM_001995.2	ACSL1
ENST00000392066	NM_203372.1	ACSL3
ENST00000340800	NM_022977.2	ACSL4
ENST00000356116	NM_016234.3	ACSL5
ENST00000379264	NM_001009185.2	ACSL6
ENST00000307493	NM_052956.2	ACSM1
ENST00000573854	NM_001010845.2	ACSM2A
ENST00000329697	NM_001105069.1	ACSM2B
ENST00000289416	NM_005622.3	ACSM3
ENST00000399422	NM_001080454.1	ACSM4
ENST00000331849	NM_017888.2	ACSM5
ENST00000323482	NM_032501.3	ACSS1
ENST00000253382	NM_001076552.2	ACSS2
ENST00000261206	NM_024560.2	ACSS3
ENST00000366684	NM_001100.3	ACTA1
ENST00000224784	NM_001613.2	ACTA2
ENST00000423391	NM_001017992.3	ACTBL2
ENST00000331789	NM_001101.3	ACTB
ENST00000290378	NM_005159.4	ACTC1
ENST00000331925	NM_001614.3	ACTG1
ENST00000345517	NM_001615.3	ACTG2
ENST00000330271	NM_001024675.1	ACTL10
ENST00000429709	NM_004301.3	ACTL6A
ENST00000160382	NM_016188.4	ACTL6B
ENST00000333999	NM_006687.2	ACTL7A
ENST00000374667	NM_006686.3	ACTL7B
ENST00000375406	NM_030812.2	ACTL8
ENST00000324436	NM_178525.3	ACTL9
ENST00000394419	NM_001130004.1	ACTN1
ENST00000366578	NM_001103.3	ACTN2
ENST00000252699	NM_004924.4	ACTN4
ENST00000254286	NM_018477.2	ACTR10
ENST00000369905	NM_005736.3	ACTR1A
ENST00000289228	NM_005735.3	ACTR1B
ENST00000377982	NM_001005386.2	ACTR2
ENST00000256001	NM_020445.5	ACTR3B
ENST00000539352	NM_001164458.1	ACTR3C
ENST00000263238	NM_005721.4	ACTR3
ENST00000243903	NM_024855.3	ACTR5
ENST00000188312	NM_022496.4	ACTR6
ENST00000335754	NM_022899.4	ACTR8
ENST00000371124	NM_138289.3	ACTRT1
ENST00000378404	NM_080431.4	ACTRT2
ENST00000257963	NM_004302.4	ACVR1B
ENST00000243349	NM_145259.2	ACVR1C
ENST00000434821	NM_001111067.2	ACVR1
ENST00000241416	NM_001616.4	ACVR2A
ENST00000352511	NM_001106.3	ACVR2B
ENST00000550683	NM_001077401.1	ACVRL1
ENST00000404366	NM_001198895.1	ACY1
