NM_000014.5	A2M
NM_000015.2	NAT2
NM_000016.5	ACADM
NM_000017.3	ACADS
NM_000018.3	ACADVL
NM_000019.3	ACAT1
NM_000020.2	ACVRL1
NM_000021.3	PSEN1
NM_000022.3	ADA
NM_000023.3	SGCA
NM_000024.5	ADRB2
NM_000025.2	ADRB3
NM_000026.3	ADSL
NM_000027.3	AGA
NM_000028.2	AGL
NM_000029.3	AGT
NM_000030.2	AGXT
NM_000031.5	ALAD
NM_000032.4	ALAS2
NM_000033.3	ABCD1
NM_000034.3	ALDOA
NM_000035.3	ALDOB
NM_000036.2	AMPD1
NM_000037.3	ANK1
NM_000038.5	APC
NM_000039.2	APOA1
NM_000040.1	APOC3
NM_000041.3	APOE
NM_000042.2	APOH
NM_000043.5	FAS
NM_000044.3	AR
NM_000045.3	ARG1
NM_000046.3	ARSB
NM_000047.2	ARSE
NM_000048.3	ASL
NM_000049.2	ASPA
NM_000050.4	ASS1
NM_000051.3	ATM
NM_000052.6	ATP7A
NM_000053.3	ATP7B
NM_000054.4	AVPR2
NM_000055.3	BCHE
NM_000056.4	BCKDHB
NM_000057.3	BLM
NM_000059.3	BRCA2
NM_000060.4	BTD
NM_000061.2	BTK
NM_000062.2	SERPING1
NM_000063.5	C2
NM_000064.3	C3
NM_000065.3	C6
NM_000066.3	C8B
NM_000067.2	CA2
NM_000068.3	CACNA1A
NM_000069.2	CACNA1S
NM_000070.2	CAPN3
NM_000071.2	CBS
NM_000072.3	CD36
NM_000073.2	CD3G
NM_000074.2	CD40LG
NM_000075.3	CDK4
NM_000076.2	CDKN1C
NM_000077.4	CDKN2A
NM_000078.2	CETP
NM_000079.3	CHRNA1
NM_000080.3	CHRNE
NM_000081.3	LYST
NM_000082.3	ERCC8
NM_000083.2	CLCN1
NM_000084.4	CLCN5
NM_000085.4	CLCNKB
NM_000086.2	CLN3
NM_000087.3	CNGA1
NM_000088.3	COL1A1
NM_000089.3	COL1A2
NM_000090.3	COL3A1
NM_000091.4	COL4A3
NM_000092.4	COL4A4
NM_000093.4	COL5A1
NM_000094.3	COL7A1
NM_000095.2	COMP
NM_000096.3	CP
NM_000097.5	CPOX
NM_000098.2	CPT2
NM_000099.3	CST3
NM_000100.3	CSTB
NM_000101.3	CYBA
NM_000102.3	CYP17A1
NM_000103.3	CYP19A1
NM_000104.3	CYP1B1
NM_000106.5	CYP2D6
NM_000107.2	DDB2
NM_000108.4	DLD
NM_000109.3	DMD
NM_000110.3	DPYD
NM_000111.2	SLC26A3
NM_000112.3	SLC26A2
NM_000113.2	TOR1A
NM_000116.4	TAZ
NM_000117.2	EMD
NM_000118.3	ENG
NM_000119.2	EPB42
NM_000120.3	EPHX1
NM_000121.3	EPOR
NM_000122.1	ERCC3
NM_000123.3	ERCC5
NM_000124.3	ERCC6
NM_000125.3	ESR1
NM_000126.3	ETFA
NM_000127.2	EXT1
NM_000128.3	F11
NM_000129.3	F13A1
NM_000130.4	F5
NM_000131.4	F7
NM_000132.3	F8
NM_000133.3	F9
NM_000134.3	FABP2
NM_000135.2	FANCA
NM_000136.2	FANCC
NM_000137.2	FAH
NM_000138.4	FBN1
NM_000139.4	MS4A2
NM_000140.3	FECH
NM_000141.4	FGFR2
NM_000142.4	FGFR3
NM_000143.3	FH
NM_000144.4	FXN
NM_000145.3	FSHR
NM_000146.3	FTL
NM_000147.4	FUCA1
NM_000148.3	FUT1
NM_000149.3	FUT3
NM_000150.2	FUT6
NM_000151.3	G6PC
NM_000152.4	GAA
NM_000153.3	GALC
NM_000154.1	GALK1
NM_000155.3	GALT
NM_000156.5	GAMT
NM_000157.3	GBA
NM_000158.3	GBE1
NM_000159.3	GCDH
NM_000160.4	GCGR
NM_000161.2	GCH1
NM_000162.3	GCK
NM_000163.4	GHR
NM_000164.3	GIPR
NM_000165.4	GJA1
NM_000166.5	GJB1
NM_000167.5	GK
NM_000168.5	GLI3
NM_000169.2	GLA
NM_000170.2	GLDC
NM_000171.3	GLRA1
NM_000172.3	GNAT1
NM_000173.6	GP1BA
NM_000174.4	GP9
NM_000175.4	GPI
NM_000177.4	GSN
NM_000178.3	GSS
NM_000179.2	MSH6
NM_000180.3	GUCY2D
NM_000181.3	GUSB
NM_000182.4	HADHA
NM_000183.2	HADHB
NM_000184.2	HBG2
NM_000185.3	SERPIND1
NM_000186.3	CFH
NM_000187.3	HGD
NM_000188.2	HK1
NM_000189.4	HK2
NM_000190.3	HMBS
NM_000191.2	HMGCL
NM_000192.3	TBX5
NM_000193.3	SHH
NM_000194.2	HPRT1
NM_000195.4	HPS1
NM_000196.3	HSD11B2
NM_000197.1	HSD17B3
NM_000198.3	HSD3B2
NM_000199.3	SGSH
NM_000200.2	HTN3
NM_000201.2	ICAM1
NM_000202.7	IDS
NM_000203.4	IDUA
NM_000204.4	CFI
NM_000206.2	IL2RG
NM_000207.2	INS
NM_000208.3	INSR
NM_000209.3	PDX1
NM_000210.3	ITGA6
NM_000211.4	ITGB2
NM_000212.2	ITGB3
NM_000213.4	ITGB4
NM_000214.2	JAG1
NM_000215.3	JAK3
NM_000216.3	ANOS1
NM_000217.2	KCNA1
NM_000218.2	KCNQ1
NM_000219.5	KCNE1
NM_000220.4	KCNJ1
NM_000221.2	KHK
NM_000222.2	KIT
NM_000223.3	KRT12
NM_000224.2	KRT18
NM_000226.3	KRT9
NM_000227.4	LAMA3
NM_000228.2	LAMB3
NM_000229.1	LCAT
NM_000230.2	LEP
NM_000231.2	SGCG
NM_000232.4	SGCB
NM_000233.3	LHCGR
NM_000234.2	LIG1
NM_000235.3	LIPA
NM_000236.2	LIPC
NM_000237.2	LPL
NM_000238.3	KCNH2
NM_000239.2	LYZ
NM_000240.3	MAOA
NM_000242.2	MBL2
NM_000243.2	MEFV
NM_000244.3	MEN1
NM_000245.3	MET
NM_000246.3	CIITA
NM_000247.2	MICA
NM_000248.3	MITF
NM_000249.3	MLH1
NM_000250.1	MPO
NM_000251.2	MSH2
NM_000252.2	MTM1
NM_000253.3	MTTP
NM_000254.2	MTR
NM_000255.3	MUT
NM_000256.3	MYBPC3
NM_000257.3	MYH7
NM_000258.2	MYL3
NM_000259.3	MYO5A
NM_000260.3	MYO7A
NM_000261.1	MYOC
NM_000262.2	NAGA
NM_000263.3	NAGLU
NM_000264.3	PTCH1
NM_000265.5	NCF1
NM_000266.3	NDP
NM_000267.3	NF1
NM_000268.3	NF2
NM_000269.2	NME1
NM_000270.3	PNP
NM_000271.4	NPC1
NM_000272.3	NPHP1
NM_000273.2	GPR143
NM_000274.3	OAT
NM_000275.2	OCA2
NM_000276.3	OCRL
NM_000277.1	PAH
NM_000278.4	PAX2
NM_000280.4	PAX6
NM_000281.3	PCBD1
NM_000282.3	PCCA
NM_000283.3	PDE6B
NM_000284.3	PDHA1
NM_000285.3	PEPD
NM_000286.2	PEX12
NM_000287.3	PEX6
NM_000288.3	PEX7
NM_000289.5	PFKM
NM_000290.3	PGAM2
NM_000291.3	PGK1
NM_000292.2	PHKA2
NM_000293.2	PHKB
NM_000294.2	PHKG2
NM_000295.4	SERPINA1
NM_000296.3	PKD1
NM_000297.3	PKD2
NM_000298.5	PKLR
NM_000299.3	PKP1
NM_000300.3	PLA2G2A
NM_000301.3	PLG
NM_000302.3	PLOD1
NM_000303.2	PMM2
NM_000304.3	PMP22
NM_000305.2	PON2
NM_000306.3	POU1F1
NM_000307.4	POU3F4
NM_000308.3	CTSA
NM_000309.3	PPOX
NM_000310.3	PPT1
NM_000311.3	PRNP
NM_000312.3	PROC
NM_000313.3	PROS1
NM_000314.6	PTEN
NM_000315.3	PTH
NM_000316.2	PTH1R
NM_000317.2	PTS
NM_000318.2	PEX2
NM_000319.4	PEX5
NM_000320.2	QDPR
NM_000321.2	RB1
NM_000322.4	PRPH2
NM_000324.2	RHAG
NM_000325.5	PITX2
NM_000326.4	RLBP1
NM_000327.3	ROM1
NM_000328.2	RPGR
NM_000329.2	RPE65
NM_000330.3	RS1
NM_000331.5	SAA1
NM_000332.3	ATXN1
NM_000333.3	ATXN7
NM_000334.4	SCN4A
NM_000335.4	SCN5A
NM_000336.2	SCNN1B
NM_000337.5	SGCD
NM_000338.2	SLC12A1
NM_000339.2	SLC12A3
NM_000340.1	SLC2A2
NM_000341.3	SLC3A1
NM_000342.3	SLC4A1
NM_000343.3	SLC5A1
NM_000344.3	SMN1
NM_000345.3	SNCA
NM_000346.3	SOX9
NM_000347.5	SPTB
NM_000348.3	SRD5A2
NM_000349.2	STAR
NM_000350.2	ABCA4
NM_000351.5	STS
NM_000352.4	ABCC8
NM_000353.2	TAT
NM_000354.5	SERPINA7
NM_000355.3	TCN2
NM_000356.3	TCOF1
NM_000358.2	TGFBI
NM_000359.2	TGM1
NM_000360.3	TH
NM_000361.2	THBD
NM_000362.4	TIMP3
NM_000363.4	TNNI3
NM_000364.3	TNNT2
NM_000365.5	TPI1
NM_000366.5	TPM1
NM_000367.4	TPMT
NM_000368.4	TSC1
NM_000369.2	TSHR
NM_000370.3	TTPA
NM_000371.3	TTR
NM_000372.4	TYR
NM_000373.3	UMPS
NM_000374.4	UROD
NM_000375.2	UROS
NM_000376.2	VDR
NM_000377.2	WAS
NM_000378.4	WT1
NM_000379.3	XDH
NM_000380.3	XPA
NM_000381.3	MID1
NM_000382.2	ALDH3A2
NM_000383.3	AIRE
NM_000384.2	APOB
NM_000386.3	BLMH
NM_000387.5	SLC25A20
NM_000388.3	CASR
NM_000389.4	CDKN1A
NM_000390.3	CHM
NM_000391.3	TPP1
NM_000392.4	ABCC2
NM_000393.4	COL5A2
NM_000394.3	CRYAA
NM_000395.2	CSF2RB
NM_000396.3	CTSK
NM_000397.3	CYBB
NM_000398.6	CYB5R3
NM_000399.4	EGR2
NM_000400.3	ERCC2
NM_000401.3	EXT2
NM_000402.4	G6PD
NM_000403.3	GALE
NM_000404.3	GLB1
NM_000405.4	GM2A
NM_000407.4	GP1BB
NM_000408.4	GPD2
NM_000409.4	GUCA1A
NM_000410.3	HFE
NM_000411.6	HLCS
NM_000412.4	HRG
NM_000413.3	HSD17B1
NM_000414.3	HSD17B4
NM_000415.2	IAPP
NM_000416.2	IFNGR1
NM_000417.2	IL2RA
NM_000418.3	IL4R
NM_000419.4	ITGA2B
NM_000420.2	KEL
NM_000421.3	KRT10
NM_000422.2	KRT17
NM_000423.2	KRT2
NM_000424.3	KRT5
NM_000425.4	L1CAM
NM_000426.3	LAMA2
NM_000427.2	LOR
NM_000428.2	LTBP2
NM_000429.2	MAT1A
NM_000430.3	PAFAH1B1
NM_000431.3	MVK
NM_000432.3	MYL2
NM_000433.3	NCF2
NM_000434.3	NEU1
NM_000435.2	NOTCH3
NM_000436.3	OXCT1
NM_000437.3	PAFAH2
NM_000438.5	PAX3
NM_000439.4	PCSK1
NM_000440.2	PDE6A
NM_000441.1	SLC26A4
NM_000442.4	PECAM1
NM_000443.3	ABCB4
NM_000444.5	PHEX
NM_000445.4	PLEC
NM_000446.5	PON1
NM_000447.2	PSEN2
NM_000448.2	RAG1
NM_000449.3	RFX5
NM_000450.2	SELE
NM_000451.3	SHOX
NM_000452.2	SLC10A2
NM_000453.2	SLC5A5
NM_000454.4	SOD1
NM_000455.4	STK11
NM_000456.2	SUOX
NM_000457.4	HNF4A
NM_000458.3	HNF1B
NM_000459.4	TEK
NM_000460.3	THPO
NM_000461.4	THRB
NM_000462.3	UBE3A
NM_000463.2	UGT1A1
NM_000465.3	BARD1
