stable_id	display_label
ENST00000517143	NR_046932.1
ENST00000362897	NR_046944.1
ENST00000384568	NR_046948.1
ENST00000384769	NR_002574.1
ENST00000384323	NR_002575.1
ENST00000516690	NR_046934.1
ENST00000363970	NR_046947.1
ENST00000365367	NR_046928.1
ENST00000517119	NR_046935.1
ENST00000427390	NM_001145004.1
ENST00000384474	NR_046940.1
ENST00000454856	NM_001277303.1
ENST00000516986	NR_046930.1
ENST00000559471	NM_001193489.1
ENST00000261847	NM_014701.3
ENST00000439682	NM_001277304.1
ENST00000439682	NM_207355.2
ENST00000411348	NR_046931.1
ENST00000298232	NM_199259.2
ENST00000361285	NM_199261.2
ENST00000342420	NM_199260.2
ENST00000569541	NM_031421.2
ENST00000299443	NM_174981.3
ENST00000399848	NM_181482.4
ENST00000359446	NM_181481.4
ENST00000344577	NM_198996.2
ENST00000516246	NR_046939.1
ENST00000587757	NM_001003674.3
ENST00000585931	NM_001276249.1
ENST00000362607	NR_002967.1
ENST00000586765	NM_001003675.3
ENST00000592991	NM_001276251.1
ENST00000332663	NM_001004719.2
ENST00000562265	NM_001001349.2
ENST00000328795	NM_001005241.2
ENST00000400577	NM_144770.3
ENST00000285667	NM_006948.4
ENST00000316397	NM_001001413.3
ENST00000316397	NM_001271664.1
ENST00000516576	NR_046938.1
ENST00000400566	NM_022136.4
ENST00000400566	NM_001286523.1
ENST00000285670	NM_001256370.1
ENST00000435732	NM_001256579.1
ENST00000388901	NM_001143887.1
ENST00000388901	NM_004236.3
ENST00000318948	NM_003489.3
ENST00000563924	NM_000442.4
ENST00000283645	NM_052903.4
ENST00000453949	NM_001102610.1
ENST00000338376	NM_018145.1
ENST00000260447	NM_005258.2
ENST00000322247	NM_001098801.1
ENST00000220496	NM_018163.2
ENST00000402563	NM_152352.3
ENST00000285679	NM_013396.3
ENST00000285681	NM_001283042.1
ENST00000400183	NM_001283041.1
ENST00000315087	NM_013305.4
ENST00000284878	NM_001338.4
ENST00000400166	NM_001207063.1
ENST00000356275	NM_001207065.1
ENST00000400165	NM_001207064.1
ENST00000400169	NM_001207066.1
ENST00000585916	NM_004671.3
ENST00000563590	NM_203348.1
ENST00000592764	NM_003799.1
ENST00000324794	NM_173206.3
ENST00000339775	NM_001130914.1
ENST00000344320	NM_001130448.2
ENST00000348354	NM_006806.4
ENST00000327171	NM_001001556.1
ENST00000504988	NM_001198986.1
ENST00000396509	NM_002044.2
ENST00000357199	NM_181510.2
ENST00000289953	NM_130896.2
ENST00000326000	NM_147198.3
ENST00000284881	NM_001100420.1
ENST00000284881	NM_017447.3
ENST00000564535	NM_001288814.1
ENST00000400558	NM_001100421.1
ENST00000288398	NM_000366.5
ENST00000358278	NM_001018006.1
ENST00000403994	NM_001018005.1
ENST00000559556	NM_001018004.1
ENST00000559397	NM_001018020.1
ENST00000267996	NM_001018007.1
ENST00000420329	NM_022769.4
ENST00000420329	NM_001042574.2
ENST00000334895	NM_001018008.1
ENST00000564258	NM_001258421.1
ENST00000566027	NM_014703.2
ENST00000400131	NM_001204177.1
ENST00000563997	NM_001171904.1
ENST00000400135	NM_001204178.1
ENST00000355341	NM_001077268.1
ENST00000400127	NM_001204176.1
