Chrom	Strand	Gene	Transcript	first_exon	last_exon	pos1	pos2
1	+	AADACL3	NM_001103170	2	4	12779480	12785963
1	+	AADACL4	NM_001013630	1	4	12704566	12726746
1	+	ABCD3	NM_002858	1	23	94884035	94982685
1	+	ACADM	NM_001127328	1	12	76190473	76228448
1	+	ACOT11	NM_147161	1	16	55013983	55074785
1	+	ACTL8	NM_030812	2	3	18149504	18153014
1	+	ACTN2	NM_001103	1	21	236849974	236925919
1	+	ACTRT2	NM_080431	1	1	2938251	2939384
1	+	ADAM15	NM_207197	1	23	155023863	155034978
1	+	ADAMTSL4	NM_019032	3	19	150524765	150532672
1	+	ADC	NM_052998	4	12	33547851	33585783
1	+	ADCK3	NM_020247	2	15	227149087	227174438
1	+	ADORA1	NM_001048230	2	3	203097970	203135028
1	+	ADPRHL2	NM_017825	1	6	36554506	36558987
1	+	AGL	NM_000642	2	34	100316599	100387207
1	+	AGRN	NM_198576	1	36	955553	990361
1	+	AGTRAP	NM_020350	1	5	11796266	11810249
1	+	AHCYL1	NM_006621	1	17	110527675	110564302
1	+	AJAP1	NM_018836	1	5	4715486	4834559
1	+	AK4	NM_203464	2	6	65614091	65691860
1	+	AK5	NM_174858	1	14	77747999	78024355
1	+	AKIRIN1	NM_024595	1	5	39457053	39469727
1	+	AKR1A1	NM_153326	2	9	46027467	46035628
1	+	ALG6	NM_013339	2	15	63836649	63902691
1	+	ALPL	NM_000478	2	12	21880575	21904141
1	+	AMPD2	NM_004037	1	18	110163636	110173774
1	+	AMY1B	NM_001008218	2	11	104198953	104207142
1	+	AMY1C	NM_001008219	2	11	104198953	104207142
1	+	AMY2A	NM_000699	1	10	104160063	104168368
1	+	AMY2B	NM_020978	3	12	104114225	104122122
1	+	ANGPTL3	NM_014495	1	7	63063238	63070488
1	+	ANGPTL7	NM_021146	1	5	11249637	11255080
1	+	ANKRD34A	NM_001039888	4	4	145473329	145474819
1	+	ANKRD35	NM_144698	1	13	145549317	145567756
1	+	ANXA9	NM_003568	3	14	150955582	150967798
1	+	APCS	NM_001639	1	2	159557712	159558498
1	+	APITD1-CORT	NM_199006	1	4	10490575	10511458
1	+	APOA1BP	NM_144772	1	6	156561597	156563876
1	+	AQP10	NM_080429	1	6	154293632	154296956
1	+	ARF1	NM_001024226	2	5	228284816	228285714
1	+	ARHGEF10L	NM_018125	2	29	17907091	18023875
1	+	ARHGEF16	NM_014448	2	15	3379649	3397151
1	+	ARID1A	NM_006015	1	20	27022895	27107247
1	+	ARTN	NM_001136215	2	4	44401329	44402437
1	+	ARV1	NM_022786	1	5	231114852	231133009
1	+	ATAD3A	NM_001170535	1	16	1447649	1469452
1	+	ATAD3B	NM_031921	1	16	1407265	1431197
1	+	ATAD3C	NM_001039211	1	12	1386064	1403910
1	+	ATF3	NM_001206484	3	5	212788535	212792897
1	+	ATF6	NM_007348	1	16	161736151	161928444
1	+	ATG4C	NM_032852	2	11	63269458	63329830
1	+	ATP1A1	NM_000701	1	23	116916134	116947066
1	+	ATP1A2	NM_000702	1	23	160085652	160111112
1	+	ATP1A4	NM_144699	1	22	160121831	160156489
1	+	ATP1B1	NM_001677	1	6	169076068	169100793
1	+	ATP2B4	NM_001684	2	21	203652334	203708982
1	+	ATP5F1	NM_001688	1	7	111992164	112003616
1	+	ATP6V0B	NM_004047	1	8	44440713	44443679
1	+	ATP8B2	NM_020452	1	28	154300276	154321594
1	+	ATPIF1	NM_016311	1	3	28562695	28564489
1	+	ATXN7L2	NM_153340	1	11	110026576	110035222
1	+	AVPR1B	NM_000707	1	2	206224441	206231142
1	+	AXDND1	NM_144696	2	26	179335645	179523654
1	+	B3GALT6	NM_080605	1	1	1167659	1168648
1	+	B4GALT2	NM_030587	1	7	44445684	44456120
1	+	BCAN	NM_021948	2	14	156615847	156628926
1	+	BCL9	NM_004326	4	10	147083636	147096760
1	+	BGLAP	NM_199173	1	4	156212023	156212953
1	+	BLZF1	NM_003666	2	7	169338761	169356420
1	+	BMP8A	NM_181809	1	7	39957664	39991470
1	+	BNIPL	NM_138278	1	10	151009202	151019163
1	+	BOLA1	NM_016074	2	2	149871613	149872026
1	+	BRDT	NM_001726	2	19	92428312	92479831
1	+	BROX	NM_144695	2	13	222889042	222906056
1	+	BSND	NM_057176	1	4	55464860	55474301
1	+	BTBD19	NM_001136537	1	8	45274493	45279444
1	+	BTBD8	NM_183242	1	9	92546129	92613358
1	+	BTF3L4	NM_152265	2	6	52525520	52552430
1	+	BTG2	NM_006763	1	2	203274735	203276566
1	+	C1QA	NM_015991	2	3	22964110	22965900
1	+	C1QB	NM_000491	2	3	22985950	22987879
1	+	C1QC	NM_001114101	2	3	22970517	22974276
1	+	C1orf100	NM_001012970	2	5	244528003	244552371
1	+	C1orf101	NM_001130957	1	22	244624732	244803383
1	+	C1orf105	NM_139240	1	7	172390026	172437734
1	+	C1orf106	NM_018265	1	10	200860627	200882757
1	+	C1orf112	NM_018186	3	24	169770047	169822128
1	+	C1orf115	NM_024709	1	2	220863745	220870073
1	+	C1orf122	NM_198446	1	3	38274077	38274745
1	+	C1orf129	NM_001163629	2	22	170914698	171033481
1	+	C1orf146	NM_001012425	2	6	92696978	92711231
1	+	C1orf158	NM_152290	1	4	12806379	12820884
1	+	C1orf162	NM_174896	2	6	112018651	112020745
1	+	C1orf177	NM_001110533	1	10	55271790	55307546
1	+	C1orf185	NM_001136508	1	5	51567906	51613443
1	+	C1orf21	NM_030806	2	6	184446644	184588690
1	+	C1orf226	NM_001135240	1	3	162348704	162353473
1	+	C1orf228	NM_001145636	2	12	45155370	45191075
1	+	C1orf27	NM_017847	2	14	186348918	186388208
1	+	C1orf50	NM_024097	1	5	43232983	43241065
1	+	C1orf51	NM_144697	1	5	150255678	150259366
1	+	C1orf53	NM_001024594	1	3	197871780	197876350
1	+	C1orf54	NM_024579	1	5	150245221	150252149
1	+	C1orf56	NM_017860	1	2	151020324	151022934
1	+	C1orf64	NM_178840	1	2	16330799	16332841
1	+	C1orf65	NM_152610	1	1	223566818	223568689
1	+	C1orf68	NM_001024679	1	1	152691998	152692750
1	+	C1orf94	NM_001134734	1	7	34643391	34684362
1	+	C1orf95	NM_001003665	1	4	226736606	226789741
1	+	C4BPA	NM_000715	2	12	207286371	207318062
1	+	C4BPB	NM_001017365	2	7	207262877	207273274
1	+	C8A	NM_000562	1	11	57320575	57383389
1	+	CA14	NM_012113	1	11	150230524	150237059
1	+	CA6	NM_001215	1	8	9005946	9034763
1	+	CACHD1	NM_020925	1	27	64936581	65157244
1	+	CACNA1E	NM_001205293	1	48	181452881	181767970
1	+	CACYBP	NM_014412	1	6	174969317	174979215
1	+	CADM3	NM_021189	1	10	159141556	159170712
1	+	CALML6	NM_138705	1	6	1846720	1848632
1	+	CAMK1G	NM_020439	2	12	209768329	209786220
1	+	CAMSAP2	NM_203459	1	17	200708956	200827187
1	+	CAMTA1	NM_015215	1	23	6845591	7826551
1	+	CAP1	NM_001105530	2	13	40525019	40537205
1	+	CAPN2	NM_001748	1	21	223900343	223962559
1	+	CAPN9	NM_006615	1	20	230883243	230937342
1	+	CAPZA1	NM_006135	1	10	113162467	113212754
1	+	CASQ1	NM_001231	1	11	160160542	160171166
1	+	CATSPER4	NM_198137	1	10	26517119	26529033
1	+	CCDC18	NM_206886	2	28	93648919	93744034
1	+	CCDC24	NM_152499	2	9	44457551	44461832
1	+	CCDC27	NM_152492	1	12	3669046	3688087
1	+	CCDC28B	NM_024296	2	6	32667537	32670849
1	+	CCDC30	NM_001080850	2	16	43002156	43119699
1	+	CD101	NM_004258	1	9	117544440	117576723
1	+	CD1A	NM_001763	1	6	158224460	158227480
1	+	CD1C	NM_001765	1	6	158259855	158263266
1	+	CD1D	NM_001766	2	7	158150892	158153940
1	+	CD1E	NM_030893	1	6	158323779	158326686
1	+	CD2	NM_001767	1	5	117297115	117311405
1	+	CD46	NM_172359	1	13	207925558	207966936
1	+	CD52	NM_001803	1	2	26644509	26646793
1	+	CD53	NM_001040033	3	9	111434031	111441817
1	+	CD55	NM_001114752	1	11	207495111	207533014
1	+	CDA	NM_001785	1	4	20915623	20945061
1	+	CDC14A	NM_033312	1	15	100818511	100964935
1	+	CDC20	NM_001255	2	11	43824887	43828800
1	+	CDC42	NM_001791	2	6	22404972	22418010
1	+	CDC7	NM_001134419	2	12	91967274	91989992
1	+	CDC73	NM_024529	1	17	193091331	193219842
1	+	CDCA8	NM_018101	2	11	38158363	38174038
1	+	CDK18	NM_212502	2	16	205492296	205500506
1	+	CDKN2C	NM_078626	1	2	51436041	51439942
1	+	CELA2A	NM_033440	1	8	15783249	15798502
1	+	CELA2B	NM_015849	1	8	15802621	15817807
1	+	CELA3B	NM_007352	1	8	22303533	22315772
1	+	CELSR2	NM_001408	1	34	109792702	109816671
1	+	CENPF	NM_016343	2	20	214787098	214837137
1	+	CEP350	NM_014810	2	38	179955317	180080296
1	+	CEP85	NM_022778	2	14	26566275	26603784
1	+	CEPT1	NM_001007794	2	9	111690337	111726932
1	+	CFH	NM_000186	1	22	196621248	196716443
1	+	CFHR1	NM_002113	1	6	196788975	196801129
1	+	CFHR2	NM_005666	1	5	196913011	196928210
1	+	CFHR5	NM_030787	1	10	196946795	196977813
1	+	CGN	NM_020770	2	21	151490996	151509822
1	+	CHD1L	NM_004284	1	23	146714354	146767190
1	+	CHI3L2	NM_004000	1	10	111770352	111784986
1	+	CHIA	NM_201653	2	12	111853090	111863088
1	+	CHRM3	NM_000740	5	5	240070752	240072524
1	+	CHRNB2	NM_000748	1	6	154540521	154548408
1	+	CHTOP	NM_001206612	2	6	153609065	153617745
1	+	CKS1B	NM_001826	1	3	154947222	154951253
1	+	CLCA1	NM_001285	1	14	86934655	86965728
1	+	CLCA2	NM_006536	1	14	86889931	86921210
1	+	CLCA4	NM_012128	1	14	87012803	87046028
1	+	CLCN6	NM_001286	1	23	11866320	11900280
1	+	CLCNKA	NM_004070	2	20	16349115	16360153
1	+	CLIC4	NM_013943	1	6	25072045	25167428
1	+	CMPK1	NM_016308	1	6	47799618	47842417
1	+	CNIH3	NM_152495	1	6	224804877	224927058
1	+	CNIH4	NM_014184	1	5	224544627	224563524
1	+	CNKSR1	NM_006314	1	21	26504039	26516039
1	+	CNST	NM_152609	2	11	246754865	246829207
1	+	CNTN2	NM_005076	2	23	205022314	205042893
1	+	COG2	NM_007357	1	18	230778353	230829139
1	+	CPT2	NM_000098	1	5	53662616	53679267
1	+	CR1	NM_000651	1	47	207669613	207812754
1	+	CR1L	NM_175710	1	12	207818579	207897030
1	+	CR2	NM_001877	1	18	207627764	207658899
1	+	CRB1	NM_201253	1	12	197237543	197447009
1	+	CRCT1	NM_019060	2	2	152487860	152488159
1	+	CREB3L4	NM_130898	2	10	153941002	153946541
1	+	CROCC	NM_014675	1	37	17248514	17298941
1	+	CSF1	NM_000757	1	8	110453646	110467811
1	+	CTH	NM_001902	1	12	70877099	70904810
1	+	CTRC	NM_007272	1	8	15764961	15773084
1	+	CTSE	NM_001910	1	9	206317577	206331185
1	+	CTTNBP2NL	NM_018704	3	6	112958788	113000034
1	+	CYB561D1	NM_001134400	1	3	110036762	110038881
1	+	CYP4A22	NM_001010969	1	12	47603158	47614469
1	+	CYP4B1	NM_001099772	1	12	47264754	47284486
1	+	CYP4X1	NM_178033	1	12	47489490	47515846
1	+	CYP4Z1	NM_178134	1	12	47533163	47583606
1	+	CYR61	NM_001554	1	5	86046668	86048725
1	+	DAP3	NM_004632	2	13	155679571	155708033
1	+	DARC	NM_001122951	1	1	159175224	159176240
1	+	DARS2	NM_018122	1	17	173794368	173826843
1	+	DCAF6	NM_001198956	1	22	167906150	168044673
1	+	DCDC2B	NM_001099434	1	9	32674695	32681498
1	+	DCLRE1B	NM_022836	1	4	114448209	114454813
1	+	DCST1	NM_152494	2	17	155006513	155023344
1	+	DDI2	NM_032341	1	9	15944166	15983128
1	+	DDR2	NM_006182	3	18	162688854	162750036
1	+	DDX20	NM_007204	1	11	112298547	112309521
1	+	DEGS1	NM_003676	1	3	224371039	224380180
1	+	DFFB	NM_004402	1	7	3774168	3800305
1	+	DHDDS	NM_024887	2	9	26759437	26795622
1	+	DHX9	NM_001357	2	28	182811702	182856569
1	+	DIEXF	NM_014388	1	12	210001409	210024792
1	+	DIO1	NM_001039715	1	3	54359884	54375672
1	+	DISC1	NM_001164537	1	14	231762614	232172577
1	+	DISP1	NM_032890	4	10	223116166	223179314
1	+	DMAP1	NM_001034024	2	11	44679426	44686290
1	+	DMBX1	NM_147192	1	4	46972683	46978166
1	+	DMRTB1	NM_033067	1	4	53925127	53932335
1	+	DNAH14	NM_001373	2	84	225140405	225586971
1	+	DNAJB4	NM_007034	1	3	78470795	78481931
1	+	DNAJC16	NM_015291	2	15	15855601	15894672
1	+	DNAJC6	NM_014787	1	19	65730594	65878708
1	+	DNALI1	NM_003462	1	6	38022530	38030662
1	+	DNASE2B	NM_021233	1	6	84864248	84880551
1	+	DNM3	NM_015569	1	21	171810797	172376981
1	+	DPH2	NM_001384	1	6	44435848	44438211
1	+	DR1	NM_001938	1	3	93812203	93826196
1	+	DTL	NM_016448	1	15	212209233	212276282
1	+	DUSP12	NM_007240	1	6	161719592	161726737
1	+	DUSP23	NM_017823	2	3	159750891	159752128
1	+	DUSP27	NM_001080426	1	5	167064087	167097845
1	+	DYRK3	NM_003582	1	3	206809049	206822310
1	+	ECM1	NM_004425	1	10	150480686	150485943
1	+	EDARADD	NM_145861	1	6	236557745	236645949
1	+	EFCAB2	NM_032328	2	8	245133721	245250662
1	+	EFCAB7	NM_032437	2	14	63991244	64038187
1	+	EFHD2	NM_024329	1	4	15736468	15755220
1	+	EFNA1	NM_004428	1	5	155100454	155106543
1	+	EFNA3	NM_004952	1	5	155051418	155059019
1	+	EIF2C1	NM_012199	1	19	36349023	36385208
1	+	EIF2C3	NM_024852	1	19	36397028	36521346
1	+	EIF2C4	NM_017629	1	18	36274018	36319206
1	+	EIF3I	NM_003757	1	11	32688043	32696797
1	+	ELAVL4	NM_021952	1	7	50574862	50666850
1	+	ELF3	NM_004433	2	9	201980265	201984451
1	+	EPB41	NM_001166005	2	20	29313950	29442309
1	+	EPHA8	NM_020526	1	17	22890129	22928234
1	+	EPHB2	NM_004442	1	16	23037476	23240063
1	+	EPHX1	NM_001136018	2	9	226016431	226033048
1	+	EPHX4	NM_173567	1	7	92495637	92528843
1	+	ERMAP	NM_018538	2	11	43296120	43308903
1	+	ESPN	NM_031475	1	13	6485016	6520206
1	+	EXO1	NM_130398	4	16	242013728	242052902
1	+	EXTL1	NM_004455	1	11	26349138	26361838
1	+	FAAH	NM_001441	1	15	46860021	46879247
1	+	FAM102B	NM_001010883	1	11	109103051	109177772
1	+	FAM110D	NM_024869	2	2	26487783	26488598
1	+	FAM159A	NM_001042693	1	3	53099166	53122712
1	+	FAM163A	NM_173509	4	5	179782233	179783324
1	+	FAM167B	NM_032648	1	2	32713023	32714202
1	+	FAM177B	NM_207468	3	6	222919888	222923400
1	+	FAM183A	NM_001101376	1	4	43613623	43621984
1	+	FAM19A3	NM_001004440	2	5	113264856	113269302
1	+	FAM20B	NM_014864	2	8	179012983	179041279
1	+	FAM213B	NM_152371	1	7	2518235	2520866
1	+	FAM43B	NM_207334	1	1	20879467	20880456
1	+	FAM46C	NM_017709	2	2	118165491	118166666
1	+	FAM54B	NM_001099625	2	7	26149596	26158517
1	+	FAM58BP	NM_001105517	1	1	200182692	200183450
1	+	FAM5B	NM_021165	2	8	177199013	177250664
1	+	FAM71A	NM_153606	1	1	212798220	212800004
1	+	FAM72A	NM_001123168	1	4	206139305	206154051
1	+	FAM72B	NM_001100910	1	4	120839834	120854586
1	+	FAM73A	NM_198549	1	16	78245341	78340749
1	+	FAM76A	NM_001143912	1	10	28052592	28087092
1	+	FASLG	NM_000639	1	4	172628342	172635156
1	+	FBLIM1	NM_017556	3	9	16091479	16111156
1	+	FBXO28	NM_015176	1	5	224301832	224345448
1	+	FBXO44	NM_033182	2	6	11715893	11721330
1	+	FBXO6	NM_018438	2	6	11728716	11733908
1	+	FCER1A	NM_002001	2	6	159272155	159277722
1	+	FCER1G	NM_004106	1	5	161185112	161188733
1	+	FCGR1A	NM_000566	1	6	149754300	149763073
1	+	FCGR2A	NM_001136219	1	7	161475258	161487938
1	+	FCGR2B	NM_004001	1	8	161633032	161647343
1	+	FCGR2C	NM_201563	1	7	161551228	161569593
1	+	FCRL6	NM_001004310	1	10	159772215	159785451
1	+	FCRLA	NM_001184866	1	6	161677004	161683170
1	+	FCRLB	NM_001002901	1	6	161692463	161697452
1	+	FDPS	NM_002004	2	11	155279581	155290400
1	+	FGGY	NM_001113411	2	17	59787222	60228256
1	+	FHAD1	NM_052929	2	31	15578281	15723909
1	+	FLAD1	NM_025207	1	7	154956171	154965513
1	+	FLVCR1	NM_014053	1	10	213031795	213068632
1	+	FMN2	NM_020066	1	18	240255410	240637454
1	+	FMO1	NM_002021	2	9	171227227	171254683
1	+	FMO2	NM_001460	2	9	171154853	171178092
1	+	FMO3	NM_006894	2	9	171061800	171086582
1	+	FMO4	NM_002022	3	10	171288965	171310978
1	+	FNBP1L	NM_001164473	1	17	93913839	94017973
1	+	FNDC7	NM_001144937	1	12	109255556	109284426
1	+	FOXD2	NM_004474	1	1	47903808	47905295
1	+	FOXD3	NM_012183	1	1	63788730	63790166
1	+	FOXE3	NM_012186	1	1	47881988	47882947
1	+	FPGT-TNNI3K	NM_001112808	1	27	74663963	75009666
1	+	G0S2	NM_015714	2	2	209849030	209849341
1	+	GABPB2	NM_144618	2	9	151060666	151090732
1	+	GABRD	NM_000815	1	9	1950863	1961721
1	+	GADD45A	NM_001924	1	4	68151178	68153457
1	+	GALNT2	NM_004481	1	16	230203028	230415204
1	+	GBP6	NM_198460	2	11	89834111	89851028
1	+	GGPS1	NM_001037277	2	4	235498580	235506087
1	+	GIPC2	NM_017655	1	6	78511779	78601427
1	+	GJA4	NM_002060	2	2	35259815	35260816
1	+	GJA8	NM_005267	2	2	147380083	147381384
1	+	GJB3	NM_001005752	2	2	35250364	35251176
1	+	GJB4	NM_153212	2	2	35226856	35227656
1	+	GJB5	NM_005268	2	2	35222932	35223753
1	+	GJC2	NM_020435	2	2	228345460	228346779
1	+	GLTPD1	NM_001029885	2	3	1262291	1263143
1	+	GMEB1	NM_024482	2	10	29010125	29041285
1	+	GNAI3	NM_006496	1	8	110091343	110134855
1	+	GNPAT	NM_014236	1	16	231377125	231413288
1	+	GORAB	NM_152281	1	5	170501290	170521603
1	+	GPR137B	NM_003272	1	7	236305923	236371458
1	+	GPR25	NM_005298	1	1	200842166	200843251
1	+	GPR3	NM_005281	2	2	27720303	27721295
1	+	GPR37L1	NM_004767	1	2	202092092	202097684
1	+	GPR52	NM_005684	1	1	174417250	174418335
1	+	GPR61	NM_031936	2	2	110085645	110087000
1	+	GPR88	NM_022049	2	2	101004523	101005677
1	+	GPR89B	NM_016334	1	14	147400650	147465149
1	+	GPR89C	NM_001097616	1	9	145883868	145923443
1	+	GPSM2	NM_013296	2	15	109428145	109472562
1	+	GPX7	NM_015696	1	3	53068082	53074097
1	+	GRHL3	NM_198174	1	16	24646042	24690861
1	+	GSTM1	NM_000561	1	8	110230496	110235917
1	+	GSTM4	NM_000850	1	8	110199012	110203876
1	+	GSTM5	NM_000851	1	8	110254935	110260048
1	+	GUCA2B	NM_007102	1	3	42619122	42621267
1	+	GUK1	NM_001242840	1	7	228328004	228336553
1	+	H3F3A	NM_002107	2	4	226252053	226259180
1	+	H6PD	NM_004285	2	5	9304994	9324928
1	+	HAO2	NM_016527	2	8	119923709	119936463
1	+	HAPLN2	NM_021817	3	7	156593283	156595176
1	+	HAX1	NM_006118	1	7	154245200	154248177
1	+	HCN3	NM_020897	1	8	155247382	155258254
1	+	HCRTR1	NM_001525	3	9	32084794	32092581
1	+	HDAC1	NM_004964	1	14	32757771	32798645
1	+	HEATR8	NM_001039464	3	24	55118600	55175860
1	+	HES3	NM_001024598	2	4	6304426	6305567
1	+	HFE2	NM_213653	2	4	145414782	145416936
1	+	HHAT	NM_001122834	2	12	210522320	210847721
1	+	HHLA3	NM_001031693	1	3	70820635	70833411
1	+	HIAT1	NM_033055	1	12	100503789	100547765
1	+	HIPK1	NM_198268	2	16	114483006	114516134
1	+	HIST2H2AC	NM_003517	1	1	149858525	149858914
1	+	HIST2H4A	NM_003548	1	1	149804249	149804560
1	+	HIST3H2BB	NM_175055	1	1	228645831	228646211
1	+	HLX	NM_021958	1	4	221053200	221058046
1	+	HMCN1	NM_031935	1	107	185703912	186159010
1	+	HMGB4	NM_145205	2	2	34329793	34330353
1	+	HMGN2	NM_005517	1	6	26799104	26801639
1	+	HOOK1	NM_015888	1	22	60280790	60338637
1	+	HPCA	NM_002143	2	4	33354500	33359463
1	+	HPDL	NM_032756	1	1	45792821	45793936
1	+	HS2ST1	NM_012262	1	7	87380720	87570379
1	+	HSD11B1	NM_005525	1	6	209878288	209907866
1	+	HSD17B7	NM_016371	1	9	162760591	162782210
1	+	HSD3B1	NM_000862	2	4	120050100	120057268
1	+	HSD3B2	NM_000198	2	4	119958043	119965243
