IsPanel	Description	Gene	Lookup_Transcript	Reported_Transcript
1	cv6	ABL1	NM_005157.4	NM_005157
1	cv6	ACVR1	NM_001111067.2	NM_001111067
1	cv6	AGO2	NM_012154.3	NM_012154
1	cv6	AKT1	NM_001014431.1	NM_001014431
1	cv6	AKT2	NM_001626.4	NM_001626
1	cv6	AKT3	NM_005465.4	NM_005465
1	cv6	ALK	NM_004304.4	NM_004304
1	cv6	ALOX12B	NM_001139.2	NM_001139
1	cv6	AMER1	NM_152424.3	NM_152424
1	cv6	ANKRD11	NM_013275.5	NM_013275
1	cv6	APC	NM_000038.5	NM_000038
1	cv6	AR	NM_000044.3	NM_000044
1	cv6	ARAF	NM_001654.4	NM_001654
1	cv6	ARID1A	NM_006015.4	NM_006015
1	cv6	ARID1B	NM_020732.3	NM_020732
1	cv6	ARID2	NM_152641.2	NM_152641
1	cv6	ARID5B	NM_032199.2	NM_032199
1	cv6	ASXL1	NM_015338.5	NM_015338
1	cv6	ASXL2	NM_018263.4	NM_018263
1	cv6	ATM	NM_000051.3	NM_000051
1	cv6	ATR	NM_001184.3	NM_001184
1	cv6	ATRX	NM_000489.3	NM_000489
1	cv6	AURKA	NM_003600.2	NM_003600
1	cv6	AURKB	NM_004217.3	NM_004217
1	cv6	AXIN1	NM_003502.3	NM_003502
1	cv6	AXIN2	NM_004655.3	NM_004655
1	cv6	AXL	NM_021913.4	NM_021913
1	cv6	B2M	NM_004048.2	NM_004048
1	cv6	BABAM1	NM_001033549.1	NM_001033549
1	cv6	BAP1	NM_004656.3	NM_004656
1	cv6	BARD1	NM_000465.2	NM_000465
1	cv6	BBC3	NM_001127240.2	NM_001127240
1	cv6	BCL10	NM_003921.4	NM_003921
1	cv6	BCL2	NM_000633.2	NM_000633
1	cv6	BCL2L1	NM_138578.1	NM_138578
1	cv6	BCL2L11	NM_138621.4	NM_138621
1	cv6	BCL6	NM_001706.4	NM_001706
1	cv6	BCOR	NM_001123385.1	NM_001123385
1	cv6	BIRC3	NM_182962.2	NM_182962
1	cv6	BLM	NM_000057.2	NM_000057
1	cv6	BMPR1A	NM_004329.2	NM_004329
1	cv6	BRAF	NM_004333.4	NM_004333
1	cv6	BRCA1	NM_007294.3	NM_007294
1	cv6	BRCA2	NM_000059.3	NM_000059
1	cv6	BRD4	NM_058243.2	NM_058243
1	cv6	BRIP1	NM_032043.2	NM_032043
1	cv6	BTK	NM_000061.2	NM_000061
1	cv6	CALR	NM_004343.3	NM_004343
1	cv6	CARD11	NM_032415.4	NM_032415
1	cv6	CARM1	NM_199141.1	NM_199141
1	cv6	CASP8	NM_001080125.1	NM_001080125
