ENSG00000150457	ENST00000382592	LATS2	NM_014572
ENSG00000096968	ENST00000381652	JAK2	NM_004972
ENSG00000077782	ENST00000397113	FGFR1	NM_001174066
ENSG00000077782	ENST00000397113	FGFR1	NM_001174065
ENSG00000077782	ENST00000356207	FGFR1	NM_023105
ENSG00000077782	ENST00000335922	FGFR1	NM_001174064
ENSG00000077782	ENST00000326324	FGFR1	NM_023106
ENSG00000077782	ENST00000425967	FGFR1	NM_001174067
ENSG00000077782	ENST00000447712	FGFR1	NM_001174063
ENSG00000077782	ENST00000447712	FGFR1	NM_023110
ENSG00000077782	ENST00000447712	FGFR1	NM_015850
ENSG00000154928	ENST00000398015	EPHB1	NM_004441
ENSG00000167601	ENST00000301178	AXL	NM_021913
ENSG00000167601	ENST00000359092	AXL	NM_001699
ENSG00000167601	ENST00000593513	AXL	NM_001278599
ENSG00000132964	ENST00000381527	CDK8	NM_001260
ENSG00000105221	ENST00000392038	AKT2	NM_001626
ENSG00000105221	ENST00000392038	AKT2	NM_001243027
ENSG00000105221	ENST00000392038	AKT2	NM_001243028
ENSG00000122025	ENST00000241453	FLT3	NM_004119
ENSG00000167258	ENST00000447079	CDK12	NM_015083
ENSG00000167258	ENST00000447079	CDK12	NM_016507
ENSG00000140443	ENST00000268035	IGF1R	NM_000875
ENSG00000102755	ENST00000282397	FLT1	NM_002019
ENSG00000171094	ENST00000389048	ALK	NM_004304
ENSG00000183765	ENST00000328354	CHEK2	NM_007194
ENSG00000183765	ENST00000382580	CHEK2	NM_001005735
ENSG00000183765	ENST00000348295	CHEK2	NM_145862
ENSG00000183765	ENST00000544772	CHEK2	NM_001257387
ENSG00000107779	ENST00000372037	BMPR1A	NM_004329
ENSG00000131023	ENST00000543571	LATS1	NM_004690
ENSG00000132155	ENST00000251849	RAF1	NM_002880
ENSG00000157764	ENST00000288602	BRAF	NM_004333
ENSG00000165731	ENST00000355710	RET	NM_020975
ENSG00000165731	ENST00000340058	RET	NM_020630
ENSG00000065361	ENST00000267101	ERBB3	NM_001982
ENSG00000066468	ENST00000358487	FGFR2	NM_000141
ENSG00000066468	ENST00000356226	FGFR2	NM_001144918
ENSG00000066468	ENST00000356226	FGFR2	NM_001144916
ENSG00000066468	ENST00000369060	FGFR2	NM_001144917
ENSG00000066468	ENST00000457416	FGFR2	NM_022970
ENSG00000066468	ENST00000360144	FGFR2	NM_001144919
ENSG00000066468	ENST00000369056	FGFR2	NM_001144913
ENSG00000066468	ENST00000357555	FGFR2	NM_023029
ENSG00000066468	ENST00000357555	FGFR2	NM_001144915
ENSG00000066468	ENST00000369061	FGFR2	NM_001144914
ENSG00000143466	ENST00000367120	IKBKE	NM_014002
ENSG00000143466	ENST00000367120	IKBKE	NM_001193322
ENSG00000143466	ENST00000537984	IKBKE	NM_001193321
ENSG00000162302	ENST00000528057	RPS6KA4	NM_001006944
ENSG00000162302	ENST00000334205	RPS6KA4	NM_003942
ENSG00000169032	ENST00000307102	MAP2K1	NM_002755
ENSG00000141736	ENST00000406381	ERBB2	NM_001005862
ENSG00000141736	ENST00000540147	ERBB2	NM_004448
ENSG00000137193	ENST00000373509	PIM1	NM_002648
ENSG00000137193	ENST00000373509	PIM1	NM_001243186
ENSG00000178999	ENST00000316199	AURKB	NM_001284526
ENSG00000178999	ENST00000534871	AURKB	NM_001256834
ENSG00000178999	ENST00000585124	AURKB	NM_004217
ENSG00000120156	ENST00000380036	TEK	NM_000459
ENSG00000101349	ENST00000353224	PAK7	NM_177990
ENSG00000101349	ENST00000378429	PAK7	NM_020341
ENSG00000102882	ENST00000263025	MAPK3	NM_002746
ENSG00000102882	ENST00000395199	MAPK3	NM_001040056
ENSG00000102882	ENST00000322266	MAPK3	NM_001109891
ENSG00000175634	ENST00000312629	RPS6KB2	NM_003952
ENSG00000163558	ENST00000295797	PRKCI	NM_002740
ENSG00000097007	ENST00000372348	ABL1	NM_007313
ENSG00000097007	ENST00000318560	ABL1	NM_005157
ENSG00000115170	ENST00000263640	ACVR1	NM_001105
ENSG00000115170	ENST00000434821	ACVR1	NM_001111067
ENSG00000105976	ENST00000397752	MET	NM_000245
ENSG00000105976	ENST00000397752	MET	NM_001127500
ENSG00000087586	ENST00000347343	AURKA	NM_003600
ENSG00000087586	ENST00000312783	AURKA	NM_198436
ENSG00000087586	ENST00000395915	AURKA	NM_198437
ENSG00000087586	ENST00000395915	AURKA	NM_198435
ENSG00000087586	ENST00000395909	AURKA	NM_198433
ENSG00000087586	ENST00000395914	AURKA	NM_198434
ENSG00000140992	ENST00000342085	PDPK1	NM_002613
ENSG00000140992	ENST00000441549	PDPK1	NM_001261816
ENSG00000140992	ENST00000268673	PDPK1	NM_031268
ENSG00000100030	ENST00000215832	MAPK1	NM_002745
ENSG00000100030	ENST00000398822	MAPK1	NM_138957
ENSG00000082701	ENST00000264235	GSK3B	NM_001146156
ENSG00000082701	ENST00000264235	GSK3B	NM_002093
ENSG00000176105	ENST00000314574	YES1	NM_005433
ENSG00000078061	ENST00000377045	ARAF	NM_001654
ENSG00000078061	ENST00000377045	ARAF	NM_001256196
ENSG00000068078	ENST00000340107	FGFR3	NM_001163213
ENSG00000068078	ENST00000440486	FGFR3	NM_000142
ENSG00000068078	ENST00000412135	FGFR3	NM_022965
ENSG00000162434	ENST00000342505	JAK1	NM_002227
ENSG00000010671	ENST00000308731	BTK	NM_000061
ENSG00000010671	ENST00000308731	BTK	NM_001287344
ENSG00000010671	ENST00000372880	BTK	NM_001287345
ENSG00000010810	ENST00000354650	FYN	NM_002037
ENSG00000010810	ENST00000229471	FYN	NM_153048
ENSG00000010810	ENST00000538466	FYN	NM_153047
ENSG00000182578	ENST00000286301	CSF1R	NM_005211
ENSG00000182578	ENST00000286301	CSF1R	NM_001288705
ENSG00000113721	ENST00000261799	PDGFRB	NM_002609
ENSG00000044524	ENST00000336596	EPHA3	NM_005233
ENSG00000065559	ENST00000353533	MAP2K4	NM_003010
ENSG00000065559	ENST00000415385	MAP2K4	NM_001281435
ENSG00000254087	ENST00000519728	LYN	NM_002350
ENSG00000254087	ENST00000520220	LYN	NM_001111097
ENSG00000135446	ENST00000257904	CDK4	NM_000075
ENSG00000047936	ENST00000368508	ROS1	NM_002944
ENSG00000148053	ENST00000376214	NTRK2	NM_006180
ENSG00000148053	ENST00000376213	NTRK2	NM_001018064
ENSG00000160867	ENST00000292408	FGFR4	NM_213647
ENSG00000160867	ENST00000292408	FGFR4	NM_002011
ENSG00000160867	ENST00000393637	FGFR4	NM_022963
ENSG00000117020	ENST00000336199	AKT3	NM_181690
ENSG00000117020	ENST00000366540	AKT3	NM_001206729
ENSG00000117020	ENST00000263826	AKT3	NM_005465
ENSG00000118046	ENST00000326873	STK11	NM_000455
ENSG00000165025	ENST00000375754	SYK	NM_003177
ENSG00000165025	ENST00000375751	SYK	NM_001135052
ENSG00000165025	ENST00000375747	SYK	NM_001174168
ENSG00000165025	ENST00000375746	SYK	NM_001174167
ENSG00000163513	ENST00000295754	TGFBR2	NM_003242
ENSG00000163513	ENST00000359013	TGFBR2	NM_001024847
ENSG00000178568	ENST00000342788	ERBB4	NM_005235
ENSG00000178568	ENST00000436443	ERBB4	NM_001042599
ENSG00000135333	ENST00000369303	EPHA7	NM_004440
ENSG00000135333	ENST00000369303	EPHA7	NM_001288629
ENSG00000134853	ENST00000257290	PDGFRA	NM_006206
ENSG00000157404	ENST00000288135	KIT	NM_000222
ENSG00000157404	ENST00000288135	KIT	NM_001093772
ENSG00000128052	ENST00000263923	KDR	NM_002253
ENSG00000106799	ENST00000374994	TGFBR1	NM_004612
ENSG00000106799	ENST00000374990	TGFBR1	NM_001130916
ENSG00000149269	ENST00000356341	PAK1	NM_002576
ENSG00000149269	ENST00000278568	PAK1	NM_001128620
ENSG00000095015	ENST00000399503	MAP3K1	NM_005921
ENSG00000149554	ENST00000428830	CHEK1	NM_001114121
ENSG00000149554	ENST00000534070	CHEK1	NM_001274
ENSG00000149554	ENST00000438015	CHEK1	NM_001244846
ENSG00000149554	ENST00000438015	CHEK1	NM_001114122
ENSG00000105810	ENST00000265734	CDK6	NM_001259
ENSG00000105810	ENST00000424848	CDK6	NM_001145306
ENSG00000146648	ENST00000275493	EGFR	NM_005228
ENSG00000142208	ENST00000407796	AKT1	NM_001014431
ENSG00000142208	ENST00000349310	AKT1	NM_001014432
ENSG00000142208	ENST00000555528	AKT1	NM_005163
ENSG00000145632	ENST00000274289	PLK2	NM_006622
ENSG00000145632	ENST00000274289	PLK2	NM_001252226
ENSG00000196182	ENST00000373129	STK40	NM_032017
ENSG00000196182	ENST00000373130	STK40	NM_001282546
ENSG00000196182	ENST00000373132	STK40	NM_001282547
ENSG00000145242	ENST00000273854	EPHA5	NM_004439
