Chr	Start	End	Strand	Ensembl_geneID	Ensembl_transcriptID	Refseq_transcriptID	Ensembl_proteinID	HUGO	Kinase_domain_Type	Exon_start	Exon_end	AA_start	AA_end	cDNA_start	cDNA_end
10	123260460	123243242	-	ENSG00000066468	ENST00000358487	NM_000141	ENSP00000351276	FGFR2	PF07714	exon11	exon17	481	757	1441	2271
10	88676918	88683434	+	ENSG00000107779	ENST00000372037	NM_004329	ENSP00000361107	BMPR1A	PF00069	exon9	exon13	235	519	703	1557
10	43612065	43620406	+	ENSG00000165731	ENST00000355710	NM_020975	ENSP00000347942	RET	PF07714	exon12	exon18	724	1005	2170	3015
11	125496691	125507417	+	ENSG00000149554	ENST00000534070	NM_001274	ENSP00000435371	CHEK1	PF00069	exon2	exon8	10	264	28	792
11	77064609	77034394	-	ENSG00000149269	ENST00000356341	NM_002576	ENSP00000348696	PAK1	PF00069	exon8	exon15	270	521	808	1563
11	64135985	64138096	+	ENSG00000162302	ENST00000334205	NM_003942	ENSP00000333896	RPS6KA4	PF00069	exon11	exon16	416	673	1246	2019
11	64126891	64129471	+	ENSG00000162302	ENST00000334205	NM_003942	ENSP00000333896	RPS6KA4	PF00069	exon2	exon8	33	301	97	903
11	67196670	67201683	+	ENSG00000175634	ENST00000312629	NM_003952	ENSP00000308413	RPS6KB2	PF00069	exon3	exon12	67	328	199	984
12	58145482	58142335	-	ENSG00000135446	ENST00000257904	NM_000075	ENSP00000257904	CDK4	PF00069	exon2	exon8	7	295	19	885
12	56490359	56493484	+	ENSG00000065361	ENST00000267101	NM_001982	ENSP00000267101	ERBB3	PF07714	exon18	exon24	710	964	2128	2892
13	26828854	26974661	+	ENSG00000132964	ENST00000381527	NM_001260	ENSP00000370938	CDK8	PF00069	exon1	exon10	26	335	76	1005
13	28913314	28886160	-	ENSG00000102755	ENST00000282397	NM_002019	ENSP00000282397	FLT1	PF07714	exon17	exon26	827	1154	2479	3462
13	28608228	28588619	-	ENSG00000122025	ENST00000241453	NM_004119	ENSP00000241453	FLT3	PF07714	exon14	exon23	610	943	1828	2829
13	21555674	21549357	-	ENSG00000150457	ENST00000382592	NM_014572	ENSP00000372035	LATS2	PF00069	exon6	exon8	866	973	2596	2919
13	21557840	21557376	-	ENSG00000150457	ENST00000382592	NM_014572	ENSP00000372035	LATS2	PF00069	exon5	exon5	669	823	2005	2469
14	105241529	105238738	-	ENSG00000142208	ENST00000407796	NM_001014431	ENSP00000384293	AKT1	PF00069	exon6	exon12	151	408	451	1224
14	30095729	30047484	-	ENSG00000184304	ENST00000331968	NM_002742	ENSP00000333568	PRKD1	PF00069	exon12	exon17	587	839	1759	2517
15	99478091	99500362	+	ENSG00000140443	ENST00000268035	NM_000875	ENSP00000268035	IGF1R	PF07714	exon16	exon21	999	1265	2995	3795
15	88483955	88420214	-	ENSG00000140538	ENST00000360948	NM_001012338	ENSP00000354207	NTRK3	PF07714	exon15	exon20	539	824	1615	2472
15	66727486	66782854	+	ENSG00000169032	ENST00000307102	NM_002755	ENSP00000302486	MAP2K1	PF00069	exon2	exon11	68	361	202	1083
16	2607926	2633451	+	ENSG00000140992	ENST00000342085	NM_002613	ENSP00000344220	PDPK1	PF00069	exon2	exon10	83	330	247	990
16	30134407	30128242	-	ENSG00000102882	ENST00000263025	NM_002746	ENSP00000263025	MAPK3	PF00069	exon1	exon7	42	330	124	990
17	11984764	12044478	+	ENSG00000065559	ENST00000353533	NM_003010	ENSP00000262445	MAP2K4	PF00069	exon3	exon11	104	367	310	1101
17	8110663	8108243	-	ENSG00000178999	ENST00000585124	NM_004217	ENSP00000463999	AURKB	PF00069	exon5	exon9	77	327	229	981
17	37879866	37882867	+	ENSG00000141736	ENST00000540147	NM_004448	ENSP00000443562	ERBB2	PF07714	exon17	exon23	691	945	2071	2835
17	37649077	37676305	+	ENSG00000167258	ENST00000447079	NM_016507	ENSP00000398880	CDK12	PF00069	exon4	exon11	728	1020	2182	3060
18	743308	724478	-	ENSG00000176105	ENST00000314574	NM_005433	ENSP00000324740	YES1	PF07714	exon7	exon12	278	526	832	1578
19	7125485	7117346	-	ENSG00000171105	ENST00000302850	NM_000208	ENSP00000303830	INSR	PF07714	exon17	exon22	1023	1290	3067	3870
19	17943622	17937648	-	ENSG00000105639	ENST00000458235	NM_000215	ENSP00000391676	JAK3	PF07714	exon18	exon24	823	1093	2467	3279
19	17949080	17945399	-	ENSG00000105639	ENST00000458235	NM_000215	ENSP00000391676	JAK3	PF07714	exon11	exon17	521	777	1561	2331
19	1207066	1222990	+	ENSG00000118046	ENST00000326873	NM_000455	ENSP00000324856	STK11	PF00069	exon1	exon8	52	309	154	927
19	40747958	40741206	-	ENSG00000105221	ENST00000392038	NM_001626	ENSP00000375892	AKT2	PF00069	exon6	exon12	154	409	460	1227
19	41754490	41765533	+	ENSG00000167601	ENST00000301178	NM_021913	ENSP00000301178	AXL	PF07714	exon13	exon20	537	803	1609	2409
19	4117503	4090692	-	ENSG00000126934	ENST00000262948	NM_030662	ENSP00000262948	MAP2K2	PF00069	exon2	exon11	73	369	217	1107
1	65306951	65300269	-	ENSG00000162434	ENST00000342505	NM_002227	ENSP00000343204	JAK1	PF07714	exon19	exon25	876	1147	2626	3441
1	65316492	65307156	-	ENSG00000162434	ENST00000342505	NM_002227	ENSP00000343204	JAK1	PF07714	exon12	exon18	584	844	1750	2532
1	156845904	156851386	+	ENSG00000198400	ENST00000524377	NM_002529	ENSP00000431418	NTRK1	PF07714	exon13	exon17	512	781	1534	2343
1	243801026	243708848	-	ENSG00000117020	ENST00000263826	NM_005465	ENSP00000263826	AKT3	PF00069	exon5	exon11	150	405	448	1215
1	162741996	162750009	+	ENSG00000162733	ENST00000367921	NM_006182	ENSP00000356898	DDR2	PF07714	exon13	exon18	563	847	1687	2541
1	206646598	206651122	+	ENSG00000143466	ENST00000367120	NM_014002	ENSP00000356087	IKBKE	PF00069	exon3	exon8	10	244	28	732
1	36824376	36809487	-	ENSG00000196182	ENST00000373129	NM_032017	ENSP00000362221	STK40	PF00069	exon4	exon10	54	326	160	978
20	54958210	54945277	-	ENSG00000087586	ENST00000347343	NM_003600	ENSP00000216911	AURKA	PF00069	exon5	exon9	133	383	397	1149
20	9546662	9520169	-	ENSG00000101349	ENST00000353224	NM_177990	ENSP00000322957	PAK7	PF00069	exon5	exon10	454	700	1360	2100
20	36026209	36031725	+	ENSG00000197122	ENST00000373578	NM_198291	ENSP00000362680	SRC	PF07714	exon9	exon14	271	518	811	1554
22	22221658	22127189	-	ENSG00000100030	ENST00000215832	NM_002745	ENSP00000215832	MAPK1	PF00069	exon1	exon7	25	313	73	939
22	29115402	29090023	-	ENSG00000183765	ENST00000328354	NM_007194	ENSP00000329178	CHEK2	PF00069	exon5	exon13	222	486	664	1458
2	158630618	158594094	-	ENSG00000115170	ENST00000434821	NM_001111067	ENSP00000405004	ACVR1	PF00069	exon6	exon11	209	493	625	1479
2	29446218	29419654	-	ENSG00000171094	ENST00000389048	NM_004304	ENSP00000373700	ALK	PF07714	exon20	exon28	1117	1382	3349	4146
2	212488694	212286777	-	ENSG00000178568	ENST00000342788	NM_005235	ENSP00000342235	ERBB4	PF07714	exon18	exon24	719	973	2155	2919
3	30713411	30732995	+	ENSG00000163513	ENST00000359013	NM_001024847	ENSP00000351905	TGFBR2	PF00069	exon5	exon8	271	561	811	1683
3	119721009	119582342	-	ENSG00000082701	ENST00000264235	NM_002093	ENSP00000264235	GSK3B	PF00069	exon2	exon10	56	340	166	1020
3	49932618	49924926	-	ENSG00000164078	ENST00000296474	NM_002447	ENSP00000296474	MST1R	PF07714	exon14	exon20	1085	1339	3253	4017
3	169998072	170015154	+	ENSG00000163558	ENST00000295797	NM_002740	ENSP00000295797	PRKCI	PF00069	exon9	exon16	255	520	763	1560
3	12641247	12626145	-	ENSG00000132155	ENST00000251849	NM_002880	ENSP00000251849	RAF1	PF07714	exon10	exon17	351	605	1051	1815
3	134898800	134967295	+	ENSG00000154928	ENST00000398015	NM_004441	ENSP00000381097	EPHB1	PF07714	exon10	exon14	620	878	1858	2634
3	185155270	185169123	+	ENSG00000073803	ENST00000265026	NM_004721	ENSP00000265026	MAP3K13	PF07714	exon3	exon7	171	406	511	1218
3	89462392	89499464	+	ENSG00000044524	ENST00000336596	NM_005233	ENSP00000337451	EPHA3	PF07714	exon10	exon15	622	878	1864	2634
4	1807083	1808631	+	ENSG00000068078	ENST00000440486	NM_000142	ENSP00000414914	FGFR3	PF07714	exon11	exon17	472	748	1414	2244
4	55593699	55603413	+	ENSG00000157404	ENST00000288135	NM_000222	ENSP00000288135	KIT	PF07714	exon11	exon20	589	923	1765	2769
4	55964313	55955065	-	ENSG00000128052	ENST00000263923	NM_002253	ENSP00000263923	KDR	PF07714	exon17	exon26	834	1160	2500	3480
4	66231677	66201706	-	ENSG00000145242	ENST00000273854	NM_004439	ENSP00000273854	EPHA5	PF07714	exon11	exon16	675	932	2023	2796
4	55141131	55155245	+	ENSG00000134853	ENST00000257290	NM_006206	ENSP00000257290	PDGFRA	PF07714	exon12	exon21	593	948	1777	2844
5	149505017	149498346	-	ENSG00000113721	ENST00000261799	NM_002609	ENSP00000261799	PDGFRB	PF07714	exon12	exon21	600	956	1798	2868
5	149441295	149433918	-	ENSG00000182578	ENST00000286301	NM_005211	ENSP00000286301	CSF1R	PF07714	exon12	exon21	582	910	1744	2730
